date,tt,rh,pp,ws,wd,sr,rr
2024-01-02 22:20:00+00,25.99,94.1,993.1571,0.0,125.4,0.0,0.0
2024-01-02 22:30:00+00,25.98,94.1,993.2287,0.0,176.6,0.636,0.0
2024-01-02 22:40:00+00,25.94,94.2,993.2918,0.017,180.4,9.03,0.0
2024-01-02 22:50:00+00,26.03,94.3,993.3459,0.155,149.7,24.84,0.0
2024-01-02 23:00:00+00,26.22,94.6,993.5158,0.124,110.8,45.39,0.0
2024-01-02 23:10:00+00,26.47,93.1,993.8686,0.146,94.2,68.36,0.0
2024-01-02 23:20:00+00,26.67,91.7,994.1199,0.267,158.7,90.8,0.0
2024-01-02 23:30:00+00,26.82,90.7,994.0587,0.28,145.0,117.6,0.0
2024-01-02 23:40:00+00,27.03,89.5,994.0864,0.69,133.5,141.0,0.0
2024-01-02 23:50:00+00,27.16,88.9,994.1412,0.258,132.9,157.7,0.0
2024-01-03 00:00:00+00,27.35,88.1,994.223,0.443,163.3,146.7,0.0
2024-01-03 00:10:00+00,27.44,87.8,994.3122,0.626,106.7,147.3,0.0
2024-01-03 00:20:00+00,27.8,86.3,994.492,0.263,86.7,152.4,0.0
2024-01-03 00:30:00+00,27.87,85.3,994.5725,0.359,99.9,150.9,0.0
2024-01-03 00:40:00+00,28.0,85.1,994.5094,0.675,111.3,239.4,0.0
2024-01-03 00:50:00+00,28.53,82.1,994.5331,0.68,133.8,325.5,0.0
2024-01-03 01:00:00+00,28.72,80.2,994.695,0.483,152.5,343.8,0.0
2024-01-03 01:10:00+00,29.07,78.37,994.8094,0.427,134.3,377.1,0.0
2024-01-03 01:20:00+00,29.13,77.04,994.7756,0.279,198.8,355.3,0.0
2024-01-03 01:30:00+00,29.24,76.97,994.9191,0.461,86.7,320.1,0.0
2024-01-03 01:40:00+00,29.55,75.0,994.8965,0.474,99.7,474.6,0.0
2024-01-03 01:50:00+00,29.93,73.2,994.953,0.413,143.4,483.9,0.0
2024-01-03 02:00:00+00,30.53,71.68,995.0265,0.342,152.4,603.9,0.0
2024-01-03 02:10:00+00,30.82,70.1,995.0197,0.51,127.3,615.1,0.0
2024-01-03 02:20:00+00,31.34,69.41,994.8834,0.751,136.9,707.2,0.0
2024-01-03 02:30:00+00,31.25,69.03,994.7389,0.798,157.6,685.8,0.0
2024-01-03 02:40:00+00,31.66,67.87,994.4998,0.556,139.2,713.4,0.0
2024-01-03 02:50:00+00,31.75,66.39,994.3081,0.966,105.9,764.2,0.0
2024-01-03 03:00:00+00,31.48,66.52,994.222,0.816,175.1,674.7,0.0
2024-01-03 03:10:00+00,31.73,66.88,994.1611,0.831,127.0,644.4,0.0
2024-01-03 03:20:00+00,31.84,67.72,994.0272,0.557,130.2,755.2,0.0
2024-01-03 03:30:00+00,32.65,65.45,993.921,0.539,157.8,781.1,0.0
2024-01-03 03:40:00+00,32.47,63.34,993.9508,0.912,117.7,682.5,0.0
2024-01-03 03:50:00+00,31.99,65.18,993.8537,0.961,158.6,665.8,0.0
2024-01-03 04:00:00+00,32.48,64.32,993.7223,0.824,137.0,521.5,0.0
2024-01-03 04:10:00+00,32.25,64.62,993.6172,0.51,172.2,428.9,0.0
2024-01-03 04:20:00+00,32.02,63.84,993.381,0.576,152.3,391.7,0.0
2024-01-03 04:30:00+00,32.33,63.57,993.1871,0.847,191.1,397.0,0.0
